Middle East & North Africa (IDA & IBRD countries)	1417009559962
Tonga	426057453
South Asia (IDA & IBRD)	3291737801056
Sub-Saharan Africa (IDA & IBRD countries)	1648713664105
Trinidad and Tobago	22104775828
Tunisia	40256675209
Turkey	851102411118
Tuvalu	39731317
Tanzania	52090320325
Uganda	25891058946
Ukraine	112154185121
Upper middle income	22168418709052
Uruguay	56156972158
United States	19390604000000
Uzbekistan	48717685984
St. Vincent and the Grenadines	789629630
"Venezuela, RB"	
British Virgin Islands	
Virgin Islands (U.S.)	
Vietnam	223863996355
Vanuatu	862879789
World	80683787437858
Samoa	856626506
Kosovo	7128690557
"Yemen, Rep."	
South Africa	349419343614
Zambia	25808666422
Zimbabwe	17845821400
